"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.23.Jan.2023","sheets.players.League","sheets.players.Age.on.23.Jan.2023","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"34","67","33","Alisson","Goalkeeper","CENTRE","Liverpool","England","30","Brazil","Brazilian, Premier League, Goalkeepers","Yes","","https://media.guim.co.uk/3c1d99a461b8638c5482412775ea1734ebf02c13/543_61_1092_1092/500.jpg","","https://media.guim.co.uk/99505f4853c16dbe161c81a1183454a86c33fca8/0_264_3499_2099/500.jpg","","","The Brazil international’s reputation as one of the finest goalkeepers in the game may be long-established but there is no chance of Liverpool taking his consistent excellence for granted. Alisson won the Premier League’s Golden Gloves award for a second time in 2021-22 after keeping 20 clean sheets, sharing the prize with compatriot and Manchester City rival Ederson, while his penalty save from Mason Mount in the FA Cup final shootout enabled Kostas Tsimikas to win the trophy for Liverpool. Brazil’s No 1 at the World Cup, the 30-year-old has maintained his decisive standards this season despite Liverpool’s defensive problems in front of him.","Andy Hunter","","","day_4_scalpel.jpg"
"35","","Re-entry","Martin Ødegaard","Midfielder","CENTRE","Arsenal","England","24","Norway","Other nationalities, Premier League, Midfielders","Yes","","https://media.guim.co.uk/a419d3eba93348c3240a21d86c33414de288f83c/1113_81_1312_1313/500.jpg","","https://media.guim.co.uk/29274cdd6c69952c1f2ac611ee554fd835d26805/0_56_3500_2101/500.jpg","","","After so long lost in a labyrinth of dead ends, impossible staircases and sliding doors at the Bernabéu, Ødegaard finally seems to have realised the potential that convinced Real Madrid to sign him as a 16-year-old. Not only have his performances been crucial to Arsenal’s unexpected title push, he has gone from a quiet, boyish figure to a leader on the pitch. Rewarded with the armband by Mikel Arteta, he could feasibly become the first player to captain Arsenal to the title since Patrick Vieira. With the subtlety of Santi Cazorla, the forward motion of Tomas Rosicky and a final ball reminiscent of Mesut Özil at his best, he has the chance to stake his claim as one of Arsenal’s all-time great playmakers.","Will Magee","","","day_4_scalpel.jpg"
"36","63","27","João Cancelo","Defender","RIGHT","Manchester City","England","28","Portugal","Other nationalities, Premier League, Defenders","Yes","","https://media.guim.co.uk/d8a9cf11fe8a656ef08dbed7219c6e479100a61f/1926_421_910_910/500.jpg","","https://media.guim.co.uk/5c19e6e0d1ce969a6e823d4eb08b33b7c4abe920/0_90_1773_1063/500.jpg","","","The one-time reluctant defender who did not enjoy the physical side of the game was among Manchester City’s star performers in their 2021-22 Premier League title win. He is a most modern full-back, someone whose imagination shines brightly even when playing alongside Kevin De Bruyne and Bernardo Silva. Cancelo supplied seven assists and started all but two league matches last season. However, he had an indifferent end to 2022, losing his starting place for Portugal and often having to settle for the bench in Pep Guardiola’s City team. Would be a player much in demand should he come on the market.","John Brewin","","","day_4_scalpel.jpg"
"37","98","61","Gavi","Midfielder","CENTRE","Barcelona","Spain","18","Spain","Spanish, La Liga, Midfielders","Yes","","https://media.guim.co.uk/75b7a40ca9abb390b108c130de389ccd65bb016b/903_25_1080_1080/500.jpg","","https://media.guim.co.uk/d79e2b38e260a3f7e60e79046772bd089c26027a/0_309_3561_2137/500.jpg","","","Gavi is Princess Leonor’s crush and everyone else loves him too. Unless they play against him, when they hate him. Chest out, in your face, “a competitive animal” in Sergio Busquets’ words, he’s a feisty competitor who doesn’t back down against anyone, and hasn’t done since his Spain debut in Italy aged 17. It’s not all character, though, Luis Enrique insisting in the summer: “With the ball I think he’s still unknown, even to those near him. He doesn’t just run, he’s dangerous, a pure inside midfielder who can score goals. At 18, he’s unique.” Xavi, his manager at the Camp Nou, says he “has no limit”.","Sid Lowe","","","day_4_scalpel.jpg"
"38","32","-6","Ángel Di María","Forward","RIGHT","Juventus","Italy","34","Argentina","Argentinian, Serie A, Forwards","Yes","","https://media.guim.co.uk/f7ef60fdd91ca9920eaac0163112556652e84be9/1798_170_1177_1177/500.jpg","","https://media.guim.co.uk/2eb2c31ca2f799cb6df47d50fcdf99b851ad17c4/0_86_2342_1404/500.jpg","","","Sometimes it’s not about punching the clock, but what you do with your time in the office. Di María had missed almost the entire knockout phase of the World Cup, playing only the last eight minutes of the semi-final, before he returned to star in the triumph over France, winning the penalty for Argentina’s first goal and scoring the second himself. The second half of the year was a constant battle against injury, much to the frustration of his new club Juventus, but the gliding ease with which he terrorised Jules Koundé on the biggest stage reaffirmed an undiminished talent.","Nicky Bandini","","","day_4_scalpel.jpg"
"39","65","26","Toni Kroos","Midfielder","CENTRE","Real Madrid","Spain","33","Germany","German, La Liga, Midfielders","Yes","","https://media.guim.co.uk/69cbc8e177cc1e9a56c635a77874084aca5f2cab/1271_83_1018_1017/500.jpg","","https://media.guim.co.uk/96bfb3553925510a39fc6092b684e90c83d97c02/0_49_3242_1946/500.jpg","","","When Kroos tweeted that Federico Valverde was among the top three players in the world, the Uruguayan replied saying he had the best teacher. When he tweeted a picture of himself alongside Valverde and Spanish tennis star Carlos Alcaraz with the message: “The future. And me,” people begged him not to say that. “The best German midfielder ever,” according to Lothar Matthäus. The man Zinedine Zidane claims has never given the ball away is 33 now, his contract is up at the end of the season, and he is seemingly contemplating calling it a day, but watching him perform makes you feel that would be premature.","Sid Lowe","","","day_4_scalpel.jpg"
"40","","New","Khvicha Kvaratskhelia","Forward","LEFT","Napoli","Italy","21","Georgia","Other nationalities, Serie A, Forwards","Yes","","https://media.guim.co.uk/3d66a7cd723fa678e665e33fa4b7c3fd9aaf9c5d/832_0_1916_1916/500.jpg","","https://media.guim.co.uk/f1b90b70cc6094e1d5d657b9a8e297e9ae331287/0_194_3266_1961/500.jpg","","","Having made a name for himself at Rubin Kazan and Dinamo Batumi, Kvaratskhelia had flown under the radar, at least outside Russia and Georgia, before his arrival at Napoli last summer. The €10m (£8.7m) transfer fee the Serie A club paid for his services now seems like one of the biggest bargains in recent memory. With his thundering runs out wide and a hailstorm of goals and assists, his irrepressible form has helped to lift Napoli to the top of the table and put them in reach of a first scudetto since 1990. His nickname, Kvaradona, says it all. It takes something special to earn comparisons to El Diego in Naples, bad pun or otherwise.","Will Magee","","","day_4_scalpel.jpg"
"41","18","-23","Joshua Kimmich","Midfielder","CENTRE","Bayern Munich","Germany","27","Germany","German, Bundesliga, Midfielders","Yes","","https://media.guim.co.uk/fbaefd9e84e221070a6c1b8afc47b6ea95480430/2053_2_2196_2196/500.jpg","","https://media.guim.co.uk/22b24681e7c0451e59f0f1b28985fa0ca4656c23/0_83_2718_1632/500.jpg","","","Kimmich has continued to be consistent for Bayern, but the fluctuation in his perceived value (he falls 23 places from 2021) is largely due to external forces. At Bayern, where he remains the cornerstone of midfield, he has been partly exposed by the injury absences of his perfect partner – and great friend – Leon Goretzka. Kimmich felt the lack of Goretzka at the World Cup too and in the context of the Germany team, the lack of a top-class right-back always threatens to pull him away from his preferred position. Whatever the midfield ends up being for Euro 2024, Kimmich will be at the heart of it.","Andy Brassell","","","day_4_scalpel.jpg"
"42","55","13","David Alaba","Defender","CENTRE","Real Madrid","Spain","30","Austria","Other nationalities, La Liga, Defenders","Yes","","https://media.guim.co.uk/b9317f40df15400a2a4049afaab9db3b873f6c40/1114_150_1074_1075/500.jpg","","https://media.guim.co.uk/67fdc47be0a00938eea3032b041cfe48de8c1f15/0_287_5624_3376/500.jpg","","","Alaba’s new celebration, waving a white plastic chair around, became one of the most enduring images of the 2021-22 season, the Austrian trying it for the first time after one of those remarkable Real Madrid Champions League comebacks, this one against Paris Saint-Germain. “It’s good to try new celebrations every now and then,” he said. “And the chair was there at just the right moment. I didn’t think about it, it was just the emotion of it all.” He made a stunning, probably tie-saving tackle on Kylian Mbappé and finished the season strongly. Made a few uncharacteristic errors at the start of the current campaign.","Marcus Christenson","","","day_4_scalpel.jpg"
"43","","New","Yassine ‘Bono’ Bounou","Goalkeeper","CENTRE","Sevilla","Spain","31","Morocco","Other nationalities, La Liga, Goalkeepers","Yes","","https://media.guim.co.uk/38137766a2492f160cdd4f5748277a5ec604cfdf/1665_0_1145_1146/500.jpg","","https://media.guim.co.uk/26f5943053ed87e4c4de470a4887fbbdbc4eeb18/1042_429_4547_2728/500.jpg","","","Such was the Morocco goalkeeper's impact at the World Cup that it was him and Lionel Messi who were the two players depicted by Palestinian food artist Sarah Odeh. ""Yassine Bounou was outstanding, so I decided to use the well-known Palestinian ingredients za’atar and olive oil specifically for his drawing,"" she explained. Born in Canada but raised in Morocco, the 31-year-old has been one of the best goalkeepers in La Liga for some time after starting his career in Europe with Atlético Madrid and excelling for club and country. Bayern Munich and Tottenham are reported to be keeping close tabs after the exploits in Qatar that earned him a place in our top 100 for the first time.","Ed Aarons","","","day_4_scalpel.jpg"
"44","14","-30","Rúben Dias","Defender","CENTRE","Manchester City","England","25","Portugal","Other nationalities, Premier League, Defenders","Yes","","https://media.guim.co.uk/5845f7d1bf5d3ecb420b3fd6c3e96fb30e3af435/979_121_1046_1045/500.jpg","","https://media.guim.co.uk/82ed94a5c7265e428b8cd7c5207bc94fbf155cd2/633_119_3526_2116/500.jpg","","","The Portuguese defender ended his second season in the Premier League with another title, although he was unable to match the quality and consistency shown in his first year at Manchester City, which could explain his drop of 30 places on this list. Yet Dias is still a key member of City’s five-man leadership group, a player who sets an example to others by his demeanour on and off the pitch. In Qatar he helped Portugal to the quarter-finals at which point they were surprisingly knocked out by Morocco, in a match that saw Dias suffer a hamstring injury.","Will Unwin","","","day_4_scalpel.jpg"
"45","","New","Aurélien Tchouaméni","Midfielder","CENTRE","Real Madrid","Spain","22","France","French, La Liga, Midfielders","Yes","","https://media.guim.co.uk/508bb98fe99b166fa1eb8fd853d42d3cab6c0a8b/1480_56_1183_1184/500.jpg","","https://media.guim.co.uk/9c1d92a263b231191762c165790db70ca9c84236/262_116_2918_1751/500.jpg","","","Tchouaméni’s 2022 was going so well – until the very last kick. Aged just 22, by the end of his second full season at Monaco (he had been France’s young player of the year in his first), he had Kylian Mbappé on the phone trying to get him to join PSG and Liverpool calling too. Instead he signed for Real Madrid, the departure of Casemiro accelerating his inclusion, and has been outstanding since. The only footballer to start every game for France at the World Cup and a goalscorer in the quarter-final against England, Tchouaméni reached the final only to miss a vital shootout penalty.","Sid Lowe","","","day_4_scalpel.jpg"
"46","","New","Theo Hernández","Defender","LEFT","Milan","Italy","25","France","French, Serie A, Defenders","Yes","","https://media.guim.co.uk/e592b6f365ef095227801ae92754d5d55bfd25d6/2452_283_1936_1936/500.jpg","","https://media.guim.co.uk/17303d012833b7c1782dd2d162f0569f545f4858/346_0_2560_1537/500.jpg","","","Narrowly missed off this list in 2021, when he finished 102nd in our voting, Hernández leaps straight into the top half after winning a Serie A title and reaching the World Cup final. His defensive frailties were sometimes exposed after he replaced his injured brother, Lucas, for France in Qatar yet he had good moments as well, contributing two assists in the group stage and scoring the opener in a semi-final win over Morocco. At club level, he bagged Serie A’s goal of the 2021-22 season with a George Weah-esque coast-to-coast against Atalanta in May.","Nicky Bandini","","","day_4_scalpel.jpg"
"47","","New","Alexis Mac Allister","Midfielder","CENTRE","Brighton","England","24","Argentina","Argentinian, Premier League, Midfielders","Yes","","https://media.guim.co.uk/95b6e0199d221ee37f0d51f58b9957749379d9d8/630_140_998_998/500.jpg","","https://media.guim.co.uk/07ee2247a9d053b57f96fa3ea7e65b41644fb8dd/0_183_3728_2236/500.jpg","","","Like his Argentina colleague Enzo Fernández, Mac Allister has the ability to play almost three positions at once, and after getting the call for the team’s second World Cup match with Poland, such flexibility proved key to his country’s triumph. His performances in Qatar make him much-coveted; a player it will cost a significant fee to prise away from Brighton. Under both Graham Potter and latterly Roberto De Zerbi, Mac Allister’s drive has been a crucial part of the south coast club’s continuing rise, and once Argentina made his wild card selection, after two-and-a-half-year absence, they reaped the ultimate reward.","John Brewin","","","day_4_scalpel.jpg"
"48","46","-2","Rodrigo De Paul","Midfielder","CENTRE","Atlético Madrid","Spain","28","Argentina","Argentinian, La Liga, Midfielders","Yes","","https://media.guim.co.uk/312887f272537a4b57a1c5fcd3325d7623264f21/775_30_1164_1164/500.jpg","","https://media.guim.co.uk/645fc3d2ba8b8efb35cdb2744797e1e9beb37357/110_2_3842_2305/500.jpg","","","De Paul was the last World Cup winner to return, his first club game coming a month after the final in Lusail – and no one missed him much. Accused of lacking commitment, his level slipping, many Atlético Madrid fans would question his inclusion here as much as Argentina fans would celebrate it. De Paul started every game at the World Cup, a tireless presence all over the pitch and the man who delivered on his written promise to Lionel Messi that they would win it. And yet 11 Atlético players have started more La Liga games.","Sid Lowe","","","day_4_scalpel.jpg"
"49","","New","Sofyan Amrabat","Midfielder","CENTRE","Fiorentina","Italy","26","Morocco","Other nationalities, Serie A, Midfielders","Yes","","https://media.guim.co.uk/22fabf8056225a7db72f0e0054d73c67dc1cb415/867_0_1475_1475/500.jpg","","https://media.guim.co.uk/ac7b3a5caa6fea433aa7191918fb9d849b57e088/0_110_3461_2076/500.jpg","","","That tackle on Kylian Mbappé in the World Cup semi-final summed up the indefatigable spirit that has earned Amrabat a place in the top 50 on his first appearance in our list. The fulcrum of Morocco’s historic run to the last four in Qatar is now recognised as one of the best in his position having developed significantly since leaving the Netherlands in 2018, with Fiorentina facing a fight to keep hold of the 26-year-old. Atlético Madrid, Paris Saint-Germain and Liverpool are among the clubs to have been linked with a big-money move for a player whose inspiration is his older brother, the former Watford winger Nordin.","Ed Aarons","","","day_4_scalpel.jpg"
"50","","New","Cody Gakpo","Forward","LEFT","Liverpool","Netherlands","23","Netherlands","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/de63c207d5919d79eafbdcad071449068dc0fdc5/813_8_1079_1080/500.jpg","","https://media.guim.co.uk/4b9033b8ecc19fad5553873cf5d33c70819ccbb5/710_42_2730_1638/500.jpg","","","“He is a really, really good player and has the potential to become even better,” said Jürgen Klopp of Gakpo after Liverpool completed the £35m signing of the forward from PSV Eindhoven at the end of last year, and while the 23-year-old has struggled to show that for his new side, the proof of his talent was very much on display at the World Cup. Gakpo was excellent for the Netherlands, scoring in each of their group games and generally dazzled with his speed, athleticism and technical ability – as he had also done at PSV throughout 2022. ","Sachin Nakrani","","","day_4_scalpel.jpg"
"51","8","-43","Cristiano Ronaldo","Forward","CENTRE","Al Nassr ","Saudi Arabia","37","Portugal","Other nationalities, Other leagues, Forwards","Yes","","https://media.guim.co.uk/917e9e5077a760dec05d1f7cad04e42f21a65d9f/1845_353_3318_3319/500.jpg","","https://media.guim.co.uk/5fb8e78649db5986998f33c68d5b37c1c4630023/207_2_4981_2989/500.jpg","","","All good things must come to an end, they say, and this was the year that Cristiano Ronaldo fell out of the top 10 for the first time since these rankings were introduced in 2012. A two-time winner of the Guardian’s top 100, the Portuguese drops to 51st in a year that included a fallout with Erik ten Hag and Manchester United, that Piers Morgan interview and a rather chastening World Cup, during which he was criticised by his coach, Fernando Santos, for his reaction to being substituted against South Korea and then benched. The 37-year-old joined Saudi Arabian club Al Nassr in December. ","Marcus Christenson","","","day_4_scalpel.jpg"
"52","","New","Victor Osimhen","Forward","CENTRE","Napoli","Italy","24","Nigeria","Other nationalities, Serie A, Forwards","Yes","","https://media.guim.co.uk/55633894883c77bc42a7f611ba39cb131feaa3ef/1313_165_1012_1012/500.jpg","","https://media.guim.co.uk/9e527c12326c19ca0b9c77f11e7b1307e80f2a9d/0_0_3100_1860/500.jpg","","","Winner of Serie A’s best young player award for 2021-22, Osimhen is a frontrunner to claim the league’s MVP award this time around. A spectacular blend of go-go-gadget limbs, explosive finishing and breathtaking body control, he has the tools to become one of the very best players on the planet and an on-pitch enthusiasm that makes you want to jump out of your seat. He began the new Serie A season with nine goals in 10 games and bagged four in a single Africa Cup of Nations qualifier for Nigeria against São Tomé and Príncipe in June. Only injuries have slowed him down.","Nicky Bandini","","","day_4_scalpel.jpg"
"53","92","39","Rodri","Midfielder","CENTRE","Manchester City","England","26","Spain","Spanish, Premier League, Midfielders","Yes","","https://media.guim.co.uk/467fbeae555a738cd65d9c59f4c95b46984dee07/1085_82_642_642/500.jpg","","https://media.guim.co.uk/8a99fe1966e1cb4e2a64e6c3d6f617566e9676c2/0_125_4155_2493/500.jpg","","","The metronome in front of the Manchester City defence, who maintains calm and reads the game superbly to snuff out attacks before they have begun, makes his highest entry on the list after landing at 92 last year. The Spanish midfielder sits atop the passing charts in the Premier League thanks to his keep-things-simple philosophy when it comes to possession. In Qatar he was unable to stop Spain from slumping out of the competition in the last 16 but he could at least boast he played every minute of the tournament for Luis Enrique’s side until they were dumped out by Morocco on penalties.","Will Unwin","","","day_4_scalpel.jpg"
"54","75","21","Ederson","Goalkeeper","CENTRE","Manchester City","England","29","Brazil","Brazilian, Premier League, Goalkeepers","Yes","","https://media.guim.co.uk/5d3a26c77c26e03e07238c3908daa35da68ac41d/698_41_1394_1395/500.jpg","","https://media.guim.co.uk/1ebdf0b89e85e52bb64ed900f7b2cd8a8e5d2397/751_127_2766_1660/500.jpg","","","Finished his fifth season in the Premier League with a fourth title and third Golden Glove award. The goalkeeper’s ability with his feet continues to make him an asset for Pep Guardiola and is one of the reasons he has moved up 21 places on this year’s list. Ederson collected the third assist of his Manchester City career with a perfect ball down the middle for Erling Haaland against Brighton in October. At international level he has to make do with being understudy to Liverpool's Alisson but did get to play a group game at the World Cup. Maybe Brazil would have made it through if he was on the pitch to take a ruthless penalty in the shootout defeat by Croatia.","Will Unwin","","","day_4_scalpel.jpg"
"55","35","-20","Ilkay Gündogan","Midfielder","CENTRE","Manchester City","England","32","Germany","German, Premier League, Midfielders","Yes","","https://media.guim.co.uk/495097f8f8582d96ae6522e9ccf060a20d96e0c7/1455_73_1410_1410/500.jpg","","https://media.guim.co.uk/69df0f18074303cfadb40bf911285b16b6f30183/0_172_3573_2144/500.jpg","","","Scored the goal that sealed another Premier League title for Manchester City and, soon after, was named their new captain – it’s fair to say 2022 was a good year for Gündogan at club level. The story was different at international level, however, given he was part of a Germany squad that failed to qualify from the World Cup group stages for a second tournament in succession. Gündogan did score against Japan, however, and continues to be an assured and talented midfielder, albeit aged 32 he is perhaps on the slide, reflected in his fall on this list.","Sachin Nakrani","","","day_4_scalpel.jpg"
"56","48","-8","Antonio Rüdiger","Defender","CENTRE","Real Madrid","Spain","29","Germany","German, La Liga, Defenders","Yes","","https://media.guim.co.uk/d636b3a0e3cf2320c84dda1a6e9001bd0b637794/1144_0_1397_1397/500.jpg","","https://media.guim.co.uk/9538b10e670e95f60604422576aad1129829a88a/0_400_6000_3600/500.jpg","","","Real Madrid were delighted to sign the centre-back on a free from Chelsea and thus far he seems to have been first choice for Carlo Ancelotti but recent mistakes, including in the Super Cup match against Barcelona, have put question marks over the wisdom of the signing. A swashbuckling presence, he does add more physicality to the centre of defence than, say, David Alaba and his desire to win was exemplified by the late equaliser he scored against Shakhtar Donetsk, which left him bloodied and requiring stitches. He is down eight places on our list, most likely because he won the Champions League in 2021, and did not in 2022. ","Marcus Christenson","","","day_4_scalpel.jpg"
"57","60","3","Riyad Mahrez","Forward","RIGHT","Manchester City","England","31","Algeria","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/663d9cff46f9a470bdc7cadfd7cd83181355875f/193_63_2092_2093/500.jpg","","https://media.guim.co.uk/024a6564376fe47da439391f5fe7eaf50fd553bb/0_104_2485_1491/500.jpg","","","Yet another Premier League title-winner's medal – his fourth – rounded off an excellent domestic 2021-22 campaign that saw Mahrez end up with 17 goals in all competitions for Manchester City and led to him finishing 12th in the Ballon d’Or standings in October. But while he is up three places from last year in our list, after starting 2022 by failing to inspire holders Algeria as they were embarrassed in the Africa Cup of Nations, the 31-year-old has been in and out of the team at City since the arrival of Erling Haaland. When playing, as he recently showed against Tottenham, he is still capable of being a match-winner in his own right.","Ed Aarons","","","day_4_scalpel.jpg"
"58","","Re-entry","Marcus Rashford","Forward","CENTRE","Manchester United","England","25","England","English, Premier League, Forwards","Yes","","https://media.guim.co.uk/9542006f943699ead3e3e7cce3329d15915a4a44/2148_187_969_969/500.jpg","","https://media.guim.co.uk/c9a2b34953b6582eede5846c37baf95f318f8447/233_193_2331_1399/500.jpg","","","Back on the list after a one-year absence and a player who had an extraordinary 2022. For the first half of it, Rashford struggled badly in a poor Manchester United side, to the extent it appeared he was on his way out of his boyhood club. But then Erik ten Hag arrived and the rejuvenation began. Performances improved, as did output, and it was enough to see Rashford selected in England’s squad for the World Cup, where he continued to shine. The 25-year-old scored three times and generally impressed with his speed, skill and determination. It is fair to say Rashford is back and, if anything, is getting better.","Sachin Nakrani","","","day_4_scalpel.jpg"
"59","87","28","Luis Díaz","Winger","LEFT","Liverpool","England","26","Colombia","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/9e5d4ae278eed5e621a8a0f2617af6a30507dcfc/1768_171_1343_1343/500.jpg","","https://media.guim.co.uk/68e49ede9d5fa6ec668ebeb40f89946dbc4bb5f6/0_69_4293_2576/500.jpg","","","Jürgen Klopp planned to move for the gifted Porto winger last summer but, as soon as receiving word that Tottenham had agreed a fee for the Colombia international in the January window, Liverpool sprung into action. An identical fee rising to €60m was accepted, making Díaz the fourth most expensive signing in Liverpool’s history at the time, and staff were dispatched to Argentina to conduct a medical while the player was on international duty. Díaz immediately repaid Liverpool’s endeavours, slotting seamlessly into a side chasing the quadruple and adding a new dimension to their attack. The only Colombian on our list, his absence has been sorely felt at Anfield since suffering a serious knee injury in October.","Andy Hunter","","","day_4_scalpel.jpg"
"60","34","-26","Trent Alexander-Arnold","Defender","RIGHT","Liverpool","England","24","England","English, Premier League, Defenders","Yes","","https://media.guim.co.uk/445164591b061eaa9412903986b3206d50092e21/655_3_1105_1105/500.jpg","","https://media.guim.co.uk/e947d3a7845607ccac62666f98105be279bea029/95_210_2873_1724/500.jpg","","","The Liverpool right-back became the youngest player to complete the set of Champions League, Premier League, FA Cup, League Cup, Club World Cup and Uefa Super Cup winners’ medals when, at the age of 23 years and 219 days, his boyhood team beat Chelsea in last season’s FA Cup final. Only Cristiano Ronaldo has won the Champions League, Premier League, FA Cup and League Cup at a younger age. Alexander-Arnold’s creativity shone as Jürgen Klopp’s team chased the quadruple – only Mohamed Salah produced more Premier League assists than the defender’s 12 last season – but defensive lapses were costly as Liverpool came up short.","Andy Hunter","","","day_4_scalpel.jpg"
"61","","Re-entry","Richarlison","Forward","RIGHT","Tottenham","England","25","Brazil","Brazilian, Premier League, Forwards","Yes","","https://media.guim.co.uk/4a5f97d8d1e3314ce17ffb3a713886ace0344a98/342_223_992_992/500.jpg","","https://media.guim.co.uk/3d4d91f54ad17853e529b071c06adeeb0d8b3aa6/0_286_4800_2880/500.jpg","","","A player who is often loved by his own fans but hated by rival teams’ supporters, Richarlison is back on the list after a one-year absence. The summer saw him move to Tottenham from Everton in a £58m deal. He scored 10 league goals in his last season at Goodison and was one of the main reasons Everton stayed up. The start to his Spurs career has been interrupted by injuries but he was on good form for Brazil during the World Cup, finding the net three times and with his scissor-kick against Serbia rightly voted goal of the tournament. A role model off the pitch, “the Pigeon” has repeatedly spoken out on topics such as racism, poverty, police and gender violence, LGBTQ+ rights and environmental destruction.","Marcus Christenson","","","day_4_scalpel.jpg"
"62","","Re-entry","Gabriel Jesus","Forward","CENTRE","Arsenal","England","25","Brazil","Brazilian, Premier League, Forwards","Yes","","https://media.guim.co.uk/413d5e5278458b08ae39b764946e0ae171d0e578/1462_65_1018_1018/500.jpg","","https://media.guim.co.uk/bc6009b98028cad9984651916a16395d5afe2150/0_106_3500_2101/500.jpg","","","Back on this list after a two-year absence, Jesus returns after sparking Arsenal's title challenge this season. His acquisition from Manchester City, where he was important to another Premier League triumph last year while never being the leading man, was a masterstroke: it gave Jesus the stage to emerge from others’ shadows while turbocharging Mikel Arteta’s entire attack. He has not been prolific but his effect on Arsenal’s pressing and buildup play has been profound; off the pitch, his knowledge of what it takes to win trophies has also been keenly felt. Arsenal have ticked along nicely in his absence after a knee injury picked up in the World Cup but his return is eagerly awaited.","Nick Ames","","","day_4_scalpel.jpg"
"63","","Re-entry","Hakim Ziyech","Winger","RIGHT","Chelsea","England","29","Morocco","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/926fdbedc883d718180b6f11ececa87d39aba1da/3228_1050_2389_2389/500.jpg","","https://media.guim.co.uk/f96429e1b6ab42138bcf0b4423597a6b780feee1/0_180_4701_2820/500.jpg","","","It is fair to say that Ziyech’s move to London has not gone according to plan but he was able to show everyone what he can do at the World Cup, being the creative force behind Morocco’s run to the semi-finals. The prospects of Ziyech starring for Morocco in Qatar looked bleak after he announced his international retirement in February, having fallen out with the coach, Vahid Halilhodzic, but the subsequent sacking of the Bosnian saw the winger return in time for the tournament. He started every game of Morocco’s historic campaign but had only played the full 90 minutes in the league for Chelsea once before the break. This year will be a big one for the winger.","Marcus Christenson","","","day_4_scalpel.jpg"
"64","42","-22","Alphonso Davies","Defender","LEFT","Bayern Munich","Germany","22","Canada","Other nationalities, Bundesliga, Defenders","Yes","","https://media.guim.co.uk/ffd2c45c8b29d66db5e6f3f2b5e164794001d254/905_243_1135_1135/500.jpg","","https://media.guim.co.uk/3d427bc40c5db4482ec8fbcca61d15b58e9f962a/0_45_2300_1380/500.jpg","","","In terms of sheer numbers, Davies has had a quiet 2022-23 season to date, not pitching in for Bayern’s attack in the dynamic way that we have come to expect. Yet after being forced to adapt to being a left-back while still young and green, he really has cracked it in terms of defensive positioning and remains an undisputed first-choice. His dilemma with Canada was apparent in the World Cup – in which he missed a vital penalty against Belgium – with his star status demanding he play higher up the pitch, which can curtail his asset of being able to burst from deep.","Andy Brassell","","","day_4_scalpel.jpg"
"65","44","-21","Marquinhos","Defender","CENTRE","Paris Saint-Germain","France","28","Brazil","Brazililian, Ligue 1, Defenders","Yes","","https://media.guim.co.uk/7b5adefeacf23219b0238ef895ca9425c5eb7d0d/1168_0_1610_1610/500.jpg","","https://media.guim.co.uk/69dcb0a30de3e9a585779412096e8181c96fc78f/0_132_2294_1375/500.jpg","","","The PSG captain’s drop-off in form in 2022 was bookended by a pair of nightmare collapses. The first was inflicted by Karim Benzema in the Champions League, the second with Brazil at the World Cup, as he deflected in Croatia’s equaliser before missing in the shootout. Now closing in on 10 years in the French capital, Marquinhos has yet to step up into the Thiago Silva-shaped hole but is usually a reliable performer. He has adapted well to his team’s wavering between three- and four-man defences, and looks set to lead the club’s most credible Champions League charge yet.","Raphaël Jucobin","","","day_4_scalpel.jpg"
"66","57","-9","Dusan Vlahovic","Forward","CENTRE","Juventus","Italy","22","Serbia","Other nationalities, Serie A, Forwards","Yes","","https://media.guim.co.uk/920293b8d34c3cb8cae96527103057a011635e8e/231_193_2222_2222/500.jpg","","https://media.guim.co.uk/c85ac1bf6e424fe3a07afb7660d25251b533ab5c/0_177_3222_1933/500.jpg","","","This was supposed to be the year when Vlahovic established himself alongside Erling Haaland and Kylian Mbappé as one of the hottest attacking talents in world football. Instead, reviews have been mixed since he joined Juventus for €70m. Vlahovic scored 13 goals in 25 Serie A appearances for the Bianconeri in 2022 but rarely took over games. His efforts on the biggest stages were overshadowed by poor results. He netted in the first minute of his Champions League debut, away at Villarreal, only for Juventus to lose 4-1 on aggregate, and put his team ahead in the Coppa Italia final, which ended in defeat by Inter.","Nicky Bandini","","","day_4_scalpel.jpg"
