"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2018","sheets.players.League","sheets.players.Age.on.20.Dec.2018","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"25","24","-1","Philippe Coutinho","Forward","Barcelona","Spain","26","Brazil","Brazilian, La Liga, Forwards","","","https://media.guim.co.uk/494e5952694a75d41467beadbcb9722da07671d3/166_133_2403_2403","cropRatio=2403,2403&size=140,500,1000,2000,2403","https://media.guim.co.uk/649086aaef6f5a49f233c23d24a73d1eba0fe121/0_335_4887_2931","cropRatio=4887,2931&size=140,500,1000,2000,4887","","Coutinho arrived at Barcelona five months later than either party would have liked but, when it came, <a href=""https://www.theguardian.com/football/2018/jan/06/philippe-coutinho-join-barcelona-142m-deal-liverpool"">his departure from Liverpool</a> was pleasingly smooth. There was goodwill all round and everyone involved has done rather well for themselves since. In Coutinho’s case, a hot late-season goalscoring streak for club and country helped Barça to their domestic double and suggested, for a time, that Brazil might rediscover past World Cup glories. The latter did not come to pass, though his strike against Switzerland was one of the tournament’s best. This season started well too and a goal in <a href=""https://www.theguardian.com/football/2018/oct/28/barcelona-real-madrid-la-liga-match-report"">the evisceration of Real Madrid</a> added to his popularity, although Ousmane Dembélé’s selection in his place for the recent derby with Espanyol was a reminder that he cannot afford to drop his standards.","Nick Ames","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"26","14","-12","Paulo Dybala","Forward","Juventus","Italy","25","Argentina","Argentinian, Serie A, Forwards","","","https://media.guim.co.uk/0039151fee5342c44a075046f9832416926d9724/1155_93_1078_1078","cropRatio=1078,1078&size=140,500,1000,1078","https://media.guim.co.uk/b3c0b733916caed5b4ad9a8d9d8b4205084d03b5/0_62_3384_2030","cropRatio=3384,2030&size=140,500,1000,2000,3384","","A player once billed as the ""next Leo Messi"" is in danger of being overshadowed by Cristiano Ronaldo. Juventus’s top scorer last season, Dybala has appeared to struggle with the adjustment to a supporting role following the Portuguese’s arrival and drops 12 places on our list. Briefly dropped from the Bianconeri’s starting XI, after barely featuring for Argentina at the World Cup, he quickly won back his place but his strike rate since remains modest. His natural talent, though, is undeniable and he has <a href=""https://www.theguardian.com/football/blog/2018/mar/07/magic-workrate-dybala-chiellini-edge-juve-spurs"">delivered for Juventus</a> on big occasions in 2018: scoring winners away to both Tottenham and Manchester United in the Champions League.","Paolo Bandini","MC√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"27","35","8","Jan Oblak","Goalkeeper","Atlético Madrid","Spain ","25","Slovenia","Other nationalities, La Liga, Goalkeepers","","","https://media.guim.co.uk/3f162a0e83a21a1e68de5eed54d685ead4b54208/1920_276_906_906","cropRatio=906,906&size=140,500,906","https://media.guim.co.uk/3f162a0e83a21a1e68de5eed54d685ead4b54208/0_227_5000_3001","cropRatio=5000,3001&size=140,500,1000,2000,5000","","""Obi, Oblak, cada día te quiero más!"" Atlético Madrid fans have adapted the Gypsy Kings song Djobi, Djoba to serenade <a href=""https://www.theguardian.com/football/2017/oct/05/slovenia-jan-oblak-england"">their goalkeeper</a> who, the lyrics say, they love more every day. And no wonder. Oblak reached 100 clean sheets in 178 games for Atlético – and that’s not just because the defence is sound; there are countless saves in there too, many of them astonishing. Tall, strong, and very calm, an undemonstrative goalkeeper in complete control, there’s a case to be made to declare him the best in the world.","Sid Lowe","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"28","12","-16","Isco","Forward","Real Madrid","Spain","26","Spain","Spanish, La Liga, Forwards","","","https://media.guim.co.uk/8cb035a303c7e8d36e1b3ba0c4c2330d1af9d85a/904_76_1008_1008","cropRatio=1008,1008&size=140,500,1000,1008","https://media.guim.co.uk/6c808e3894263863fd25a4a9f91dfb8aef82ae25/0_131_3306_1984","cropRatio=3306,1984&size=140,500,1000,2000,3306","","Isco said he is not stupid – that if all his managers have failed to play him regularly, protecting and nurturing him, then he must be doing something wrong. There may be something in that, although there may also be a simpler explanation: his No 10 role does not really exist at Madrid. For four months it did, and he was arguably Spain’s best footballer for a while as they won the league and European Cup. That, though, is long gone now and for all the extraordinary talent, the doubts remain. Julen Lopetegui made him the central figure and he was <a href=""https://www.theguardian.com/football/2018/jun/13/julen-lopetegui-sacked-spain-manager-real-madrid-job"">sacked as Spain manager</a> two days before the World Cup began.","Sid Lowe","SMc√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"29","","New entry","Ivan Perisic","Forward","Internazionale","Italy","29","Croatia","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/1f5c4fc6d26f2a8b00abbde3c149fedfc184d358/1590_139_911_911","cropRatio=911,911&size=140,500,911","https://media.guim.co.uk/3966e3e4bcb4e2a20d08df165d84a8d6620b4520/0_301_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","Perisic put the very best of himself on display at the World Cup: a wide forward with the footwork to navigate through a crowded penalty area and finish – as he did for Croatia’s opening goal <a href=""https://www.theguardian.com/football/2018/jul/15/croatia-france-luka-modric"">in the final</a> – but also the physical stature to dominate defenders in the air. He covered more distance than any other player at the tournament and was decisive against England in the semi, scoring his team’s equaliser and setting up the winner. All of which only makes it more frustrating when we see him go missing from games, as he has at times with Inter. He is the second-highest new entry on our list, five places below Virgil van Dijk.","Paolo Bandini","MC√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"30","7","-23","Robert Lewandowski","Forward","Bayern Munich","Germany","30","Poland","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/6bd27531882d7885d8c22674b75766e68ca72908/1278_357_702_702","cropRatio=702,702&size=140,500,702","https://media.guim.co.uk/023beca6fe4fec3eecffbb0ddda1b5f6b8fa56dd/226_90_2530_1518","cropRatio=2530,1518&size=140,500,1000,2000,2530","","It is a sharp fall down the list for Lewandowski in 2018, indicative of a calendar year that he perhaps expected to be pivotal in his career, but that has turned out to be <a href=""https://www.theguardian.com/football/2018/jun/18/robert-lewandowski-interview-trust-friends-poland-world-cup"">deflating by his lofty standards</a>. He failed to make any significant impact for Bayern in their Champions League semi-final and after they refused to <a href=""https://www.theguardian.com/football/2018/may/30/robert-lewandowski-wants-to-leave-bayern-munich"">sanction a move to Real Madrid</a> – Los Merengues might have pushed harder for him had he shone brighter in that tie – he had a quiet World Cup with Poland. He remains a formidable goalscorer in an ageing Bayern side. ","Andy Brassell","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"31","62","31","Raheem Sterling","Forward","Manchester City","England","24","England","English, Premier League, Forwards","","","https://media.guim.co.uk/44ebaf494b720ad112cf248a4d87e3ec8049feee/135_543_1369_1369","cropRatio=1369,1369&size=140,500,1000,1369","https://media.guim.co.uk/a0be6587be4799a3101d28d09ea8ba3fd5396cf6/0_121_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","The Pep Guardiola effect has been most marked in a forward whose 18 league goals last term have been followed up with eight in 13 games by mid-December this season. Sterling’s jump of 31 places reflects the fact is no longer an erratic performer, instead becoming a consistent matchwinner and <a href=""https://www.theguardian.com/football/2018/mar/30/manchester-city-must-keep-raheem-sterling-pep-guardiola"">an integral part of the side</a>. It is not only his scoring that has improved – Sterling’s movement and decision-making have become razor sharp, meaning he has now pulled ahead of Leroy Sané as the manager’s most potent wide operator. Guardiola recently deployed Sterling centrally – the ultimate compliment from a manager who wishes he could field a midfielder in every position.","Jamie Jackson","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"32","33","1","Mauro Icardi","Forward","Internazionale","Italy","25","Argentina","Argentinian, Serie A, Forwards","","","https://media.guim.co.uk/335b5bbb57c8527339df2a4e6c9c1098a580bed4/949_64_916_916","cropRatio=916,916&size=140,500,916","https://media.guim.co.uk/caeee0b097c365f59b7a350e0879177f66003a8d/0_262_3998_2400","cropRatio=3998,2400&size=140,500,1000,2000,3998","","Despite finishing last season as Serie A’s joint-top scorer, Icardi could not persuade Jorge Sampaoli to <a href=""https://www.theguardian.com/football/ng-interactive/2018/jun/05/world-cup-2018-complete-guide-players-ratings-goals-caps"">include him in Argentina’s World Cup squad</a>. That is a testament to his nation’s abundant options up front, yet it is still tempting to wonder how such a ruthless finisher could not have been of use to a team that <a href=""https://www.theguardian.com/football/blog/2018/jun/30/argentina-france-lionel-messi-world-cup"">barely made it past the group stage</a>. Exquisitely efficient inside the penalty box and, as <a href=""https://www.theguardian.com/football/2018/sep/18/internazionale-tottenham-champions-league-match-report"">Tottenham discovered at San Siro</a>, not half bad when obliged to take aim from further out, Icardi has excelled throughout this year’s introduction to the Champions League with Inter. Remains just outside the top 30 on the list for a second consecutive year. ","Paolo Bandini","MC√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"33","98","65","Mario Mandzukic","Forward","Juventus ","Italy","32","Croatia","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/86b7726721dbed0eefd7c4c87cbccdb27e026592/1147_333_872_872","cropRatio=872,872&size=140,500,872","https://media.guim.co.uk/8a38fe24f9ad5b543f2c32a3b54c6197d2916d7b/0_97_3676_2205","cropRatio=3676,2205&size=140,500,1000,2000,3676","","Mandzukic was supposed to line up on the left of attack for Juventus this season, deploying his customary hard graft to create opportunities for Cristiano Ronaldo through the middle. Somehow, the roles got reversed. Although Massimiliano Allegri’s tactical schemes are fluid by design, it is the Croatian who has most often lined up at centre-forward – already surpassing his Serie A scoring tally from last term. This after a World Cup in which he contributed a goal or assist <a href=""https://www.theguardian.com/football/2018/jul/11/england-croatia-world-cup-semi-final-match-report"">in every game</a> of the knockout phase – even if he did also put the ball into his own net in the final. He is the second-biggest climber in the top 100 of the players who were on last year's list, moving up 65 places.","Paolo Bandini","MC√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"34","63","29","Diego Godín","Defender","Atlético Madrid","Spain","32","Uruguay","Other nationalities, La Liga, Defenders","","","https://media.guim.co.uk/d3e9574c5a231eda74db005515eee73be29acddb/1270_78_671_671","cropRatio=671,671&size=140,500,671","https://media.guim.co.uk/993882212bc3b03928a845f8f3c9138e419066e0/0_36_3310_1986","cropRatio=3310,1986&size=140,500,1000,2000,3310","","“Football has changed,” Godín says. “Everyone wants to play nicely now; they want to bring the ball out, the goalkeeper, players, lots of touches. It has worked for many teams … but some forget the other side of the game. To use the ball, you have to win it back. You need to know how to do that, and it’s not so easy.” It's not, no. But <a href=""https://www.theguardian.com/football/2018/jun/15/uruguay-diego-godin-luis-suarez-world-cup"">Godín is very, very good at it</a>. And if what he does isn’t always “nice”, bloody hell, you want him in your team, every time.
","Sid Lowe","SMc√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"35","73","38","Samuel Umtiti","Defender","Barcelona","Spain","25","France","French, La Liga, Defenders","","","https://media.guim.co.uk/4824183a73f90ae9fec227f30705b7ec0ccd3b26/2083_257_2234_2234","cropRatio=2234,2234&size=140,500,1000,2000,2234","https://media.guim.co.uk/350df5d2f4bf8c23f6d6515fe3e3cb1cf211a97f/588_470_3154_1893","cropRatio=3154,1893&size=140,500,1000,2000,3154","","Umtiti can crash into you and you can crash into him and he will carry on as if nothing had happened. Well, usually. There is a coolness about him that is startling at times, like his mind is somewhere else. Few knew much about him when he arrived in Spain but was superb in his first season at Barcelona – in a role that, defenders often complain, can leave you horribly exposed – and <a href=""https://www.theguardian.com/football/2018/jul/10/france-belgium-world-cup-semi-final-match-report"">impressed with the world champions</a> too. Has a knee injury now that may keep him out for most of the season.","Paul Doyle","SMc√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"36","25","-11","Christian Eriksen","Midfielder","Tottenham Hotspur","England","26","Denmark","Other nationalities, Premier League, Midfielders","","","https://media.guim.co.uk/5630f3b0884b19b9489e9fea6fff02fb5106677b/1155_90_973_973","cropRatio=973,973&size=140,500,973","https://media.guim.co.uk/8a25dee167eb68ded76ad91edad411f591385cef/0_25_4282_2569","cropRatio=4282,2569&size=140,500,1000,2000,4282","","The Danish playmaker's technique is one of the Premier League's most sumptuous sights. The fizz, curl and precision that he is able to summon on set-pieces or passes and crosses in open play frequently <a href=""https://www.theguardian.com/football/2018/jun/15/christian-eriksen-making-of-denmark-tottenham"">take the breath away</a>. Eriksen shouldered the creative burden for Denmark at the World Cup, where he helped drive his country to the last 16 – he would miss his kick in <a href=""https://www.theguardian.com/football/2018/jul/01/croatia-denmark-world-cup-last-16-match-report"">the penalty shootout defeat to Croatia</a> – but he has more support at Spurs. Finished last season with a career-high 14 goals at club level. Has needed to manage an abdominal problem this time out.","David Hytner","MC√","NA","NA","JA√","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"37","65","28","Thibaut Courtois","Goalkeeper","Real Madrid","Spain","26","Belgium","Belgian, La Liga, Goalkeepers","","","https://media.guim.co.uk/f8f293e35631c30907675d816d8c23500bfe39eb/975_38_1432_1432","cropRatio=1432,1432&size=140,500,1000,1432","https://media.guim.co.uk/bd94e23a92b1d0a13bed3e6536799c0ff80ee254/278_169_2893_1736","cropRatio=2893,1736&size=140,500,1000,2000,2893","","It was a profitable summer for Courtois, who won the Golden Glove award at the World Cup and within a month <a href=""https://www.theguardian.com/football/2018/aug/09/thibault-courtois-eden-hazard-real-madrid-transfer"">completed the move to Real Madrid</a> he had craved. He makes a big leap in this list accordingly, having grown into his new surroundings <a href=""https://www.theguardian.com/football/who-scored-blog/2018/nov/29/europe-top-de-gea-courtois-ter-stegen-neuer"">after a tricky start</a>. Courtois is Santiago Solari’s clear choice as No 1 despite the claims of Keylor Navas and that level of confidence will do no harm. The clean sheets have started to come and the save percentage is on the way back up; what had been as much a personal choice as a professional one, with his children being based in Madrid, is bearing fruit and at 26 the best should still be to come.","Nick Ames","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"38","50","12","Gareth Bale","Forward","Real Madrid","Spain","29","Wales","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/8022bfa2ed2fd753d70c9cc45714cdaebeb19b79/361_308_1149_1149","cropRatio=1149,1149&size=140,500,1000,1149","https://media.guim.co.uk/f37eb094d88c4c46f0eb80fac2eb7e45b33114a2/0_242_2946_1768","cropRatio=2946,1768&size=140,500,1000,2000,2946","","You get left out of the team for months, no explanation sought or offered. You’ve decided that it’s over, you’re out. And then you come on in the Champions League final and do that. Arguably the best European Cup final goal ever – although Zinedine Zidane grinned that his wasn’t bad either – <a href=""https://www.theguardian.com/football/2018/may/26/real-madrid-liverpool-champions-league-final-match-report"">Bale’s extraordinary overhead kick against Liverpool</a> still wasn’t enough to convince him to stay (or indeed for him to be higher than 38th in our list) and he <a href=""https://www.theguardian.com/football/2018/may/26/gareth-bale-cristiano-ronaldo-doubts-real-madrid-futures"">said as much after the game</a>. What did were the departures of Zidane and Cristiano Ronaldo, although doubts remain and debates around him continue. Has won four European Cups in five years.","Sid Lowe","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"39","23","-16","David De Gea","Goalkeeper","Manchester United","England","28","Spain","Spanish, Premier League, Goalkeepers","","","https://media.guim.co.uk/df2e45f68eed9a38e9d94d8be962218f51813973/1056_326_1611_1611","cropRatio=1611,1611&size=140,500,1000,1611","https://media.guim.co.uk/57f5a51382e17e599d4067175d0da501e87b83cf/0_172_4793_2876","cropRatio=4793,2876&size=140,500,1000,2000,4793","","A drop from his 23rd place in our 2017 ranking, yet the goalkeeper finishes another year as the one player of the post-Sir Alex Ferguson era who has been consistently brilliant for Manchester United. De Gea did suffer a <a href=""https://www.theguardian.com/football/blog/2018/sep/07/david-de-gea-manchester-united-spain-goalkeeper"">wobble playing for Spain last summer</a> but his form had been flawless during United’s troubled start to the season until <a href=""https://www.theguardian.com/football/2018/dec/05/manchester-united-arsenal-premier-league-match-report"">a howler against Arsenal</a>. At 28 De Gea is considering his options, forcing the triggering of the clause that ensures he will be at United until summer 2020 as the <a href=""https://www.theguardian.com/football/2018/aug/13/manchester-united-david-de-gea"">scramble to convince him to sign on again</a> continues.","Jamie Jackson","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
