"sheets.Sheet1.rank","sheets.Sheet1.lastyear","sheets.Sheet1.upordown","sheets.Sheet1.name","sheets.Sheet1.position","sheets.Sheet1.club","sheets.Sheet1.league","sheets.Sheet1.ageon20dec2014","sheets.Sheet1.nationality","sheets.Sheet1.birthplace","sheets.Sheet1.imagefound","sheets.Sheet1.videopath","sheets.Sheet1.mainimageurl500x500px","sheets.Sheet1.mainimageurllandscape900x506px","sheets.Sheet1.profile","sheets.Sheet1.writer","sheets.Sheet1.words","sheets.Sheet1.copyin","sheets.Sheet1.assigned","sheets.Sheet1.subbed","sheets.Sheet1.revised","sheets.Sheet1.rowNumber","updated","name"
50,"8","-42","Xavi","Midfielder","Barcelona","La Liga",34,"Spain","Terrassa","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178096384/Xavi-Hernandez-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419178168841/Xavi-Hernandez-002.jpg","The old master seemed lost to top-level football in June, when he was strongly linked with a move from Barcelona to Qatar or Major League Soccer. However close to fruition either of those moves were, he eventually opted to stay and contribute to Luis Enrique’s quiet-ish revolution. He will be 35 in January and is being handled with care – he has not played two games in a week yet this season. The way in which his Spain career ended, with that 5-1 defeat to Holland, seemed almost unfair but another year or more of seeing this once-in-a-generation metronome on some of the biggest stages is surely cause for celebration.","Nick Ames",100,"√ SMc","√ SMc","√ SB","√ PC",50,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
51,"","New","Daniel Sturridge","Forward","Liverpool","Premier League",25,"England","Birmingham","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419177474909/Daniel-Sturridge--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419177672520/Daniel-Sturridge--002.jpg","Has a keen eye for goal and formed a deadly partnership with Luis Suárez for Liverpool last season, scoring 21 goals in 29 Premier League appearances, although the suspicion remains that – like the rest of his team-mates – he will struggle to scale similar heights without the Uruguayan’s assistance. His goal against Italy was one of few World Cup highlights for England but a recurring thigh injury has kept him out of action since the beginning of September, leading to accusations that he is mentally weak. The longer he remains sidelined at struggling Liverpool, the more the legend of his goalscoring prowess grows.","Barry Glendenning",100,"√ MC","√ SMc","√ SB","√ PC",51,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
52,"","New","Raheem Sterling","Midfielder","Liverpool","Premier League",20,"England","Kingston, Jamaica","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419177084571/Raheem-Sterling--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419177141886/Raheem-Sterling-002.jpg","The 20-year-old makes his debut in our list after a rollercoaster year in which his performances for Liverpool earned him a nomination for PFA Young Player of the Year, a call-up for England’s ill-fated expedition to the World Cup and sanctimonious tabloid opprobrium for enjoying a night out shortly after telling Roy Hodgson he felt too tired to start a Euro qualifier against Estonia. The youngest player in this year’s top 100, Sterling is a nimble winger who can also play through the centre. However, despite his talent Sterling remains a work in progress. ","Barry Glendenning",100,"√ MC","√ SMc","√ SB","√ PC",52,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
53,"98","45","Branislav Ivanovic","Defender","Chelsea","Premier League",30,"Serbia","Sremska Mitrovica","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176837156/Branislav-Ivanovic--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176944027/Branislav-Ivanovic--002.jpg","Strong, consistent and well-established as a key member of one of the Premier League’s more miserly back-lines. The Serb has been José Mourinho’s first-choice right-back since the manager’s return to Chelsea with the team having come to rely upon his energy on the flank, contributing in open play as well as with his spring at set-pieces. There was that winner at Manchester City in February, but it is his reliability that stands him out. Aggressive – Raheem Sterling described him as “a tank” who was his “scariest” opponent – and inspirational, he is always able to move inside to centre-half, where he features for Serbia.","Dominic Fifield",100,"√ SMc","√ SMc","√ SB","√ PC",53,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
54,"12","-42","Mesut Özil","Midfielder","Arsenal","Premier League",26,"Germany","Gelsenkirchen","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176714196/Mesut-Ozil-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176785064/Mesut-Ozil-002.jpg","What a strange year Özil has had. He started every game as Germany won the World Cup and also helped Arsenal win the FA Cup, their first trophy since 2005. He has achieved more than most. And yet Özil’s value has been questioned because of some invisible performances for Arsenal, his cause not helped by missing a penalty in their Champions League tie with Bayern Munich, and the overriding feeling is that a player who cost £42.5m could do more. A 42-place fall on this list does not necessarily equate to a fall from grace but Özil will be under pressure to perform when he returns from the knee injury he suffered in October.","Jacob Steinberg",100,"√ SMc","√ SMc","√ SB","√ PC",54,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
55,"","New","David de Gea","Goalkeeper","Manchester United","Premier League",24,"Spain","Madrid","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176588653/David-De-Gea-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176641089/David-De-Gea-002.jpg","Unfairly written off by many fans and media pundits following a couple of high-profile mistakes upon his arrival at Old Trafford, the Spaniard must be revelling in seeing his detractors choke on their words as he delivers consistently excellent performances behind what currently passes for the Manchester United defence. De Gea travelled to the World Cup with Spain but did not feature, even if repeated blunders by Iker Casillas suggested that his understudy ought to have been first choice. Played the first of what should be many competitive internationals for his country in October, and kept a clean sheet.","Barry Glendenning",100,"√ MC","√ SMc","√ SB","√ PC",55,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
56,"","New","Juan Cuadrado","Midfielder","Fiorentina","Serie A",26,"Colombia","Necoclí","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176465195/Juan-Cuadrado-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176534841/Juan-Cuadrado-002.jpg","Cuadrado did not win as many headlines at the World Cup as his Colombia team-mate James Rodríguez but with three assists and a goal – a penalty against Japan – you can be certain the scouts took notice. A bewitching dribbler with a broad repertoire of feints and dummies, he beat his man more often than any other player in Serie A last season. The biggest question now is simply what position Cuadrado should be playing in. Fiorentina have used him everywhere from wing-back to centre-forward, a fact which reflects well on his versatility and work-ethic, but also hints at a failure to make any one position his own.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",56,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
57,"","New","Jérôme Boateng","Defender","Bayern Munich","Bundesliga",26,"Germany","Berlin","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175676766/Jerome-Boateng-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175736289/Jerome-Boateng-002.jpg","Call it a triumph for one man’s ability to improve, or a damning indictment of Manchester City’s short-sightedness; either way, no one now doubts that Boateng is among the best defenders in Europe and, as such, unrecognisable from the error-prone player who left City to little fanfare in 2011. He underlined the progress he has made since then by scoring a winner in the Champions League against City for Bayern Munich, for whom he has become a crucial presence at centre-back. He helped Germany win the World Cup in the summer and his importance to that team is such that he is being tipped as a future captain of his country.","Paul Doyle",100,"√ MC","√ SMc","√ SB","√ PC",57,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
58,"81","23","Miralem Pjanic","Midfielder","Roma","Serie A",24,"Bosnia-Herzegovina","Tuzla","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176181457/Miralem-Pjanic-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176316380/Miralem-Pjanic-002.jpg","The Bosnian playmaker is approaching his peak years and, if his current trajectory continues, they will be a joy to behold. Pjanic deserves his improved position for the way his beguiling, intelligent performances have translated themselves so consistently whatever the stage. Probably Bosnia’s best player during what proved a disappointing World Cup, he has been the creative brains for Roma too: every pass is laden with information; every shimmy and feint reveals a pocket of space or angle for release. Although he signed a new contract at the Italian club during the summer, Europe’s finest will surely come calling soon enough.","Nick Ames",100,"√ SMc","√ SMc","√ SB","√ PC",58,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
59,"77","18","Pablo Zabaleta","Defender","Manchester City","Premier League",29,"Argentina","Buenos Aires","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176065168/Pablo-Zabaleta-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419176131290/Pablo-Zabaleta-002.jpg","Mark Hughes did not get a lot of his signings right when he was Manchester City’s manager but they owe him one for introducing them to Zabaleta, who has become a cult hero with the club’s supporters. It felt as though his opportunities would be limited once City’s splurge began but his progress from a moderate Premier League right-back to a starter for Argentina in the World Cup final has been startling and proof of what can be achieved by players who are willing to work hard to reach the top. Zabaleta is a leader who plays with passion and intelligence – and even scores the occasional goal – and City love him for it.","Jacob Steinberg",100,"√ SMc","√ SMc","√ SB","√ PC",59,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
60,"27","-33","Sergio Busquets","Midfielder","Barcelona","La Liga",26,"Spain","Sabadell","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175302224/Sergio-Busquets-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419175372094/Sergio-Busquets-002.jpg","2014 was the first full year of Busquets’ career without a major trophy, and like his midfield colleagues Xavi and Andrés Iniesta, he failed to recreate his best performances for club or country. But whereas that duo’s careers are probably finally on the way down, Busquets has the capacity to recover, and he increasingly feels like the heartbeat of Barça’s midfield. His positional discipline and reliable distribution have always been assets, but he has become more penetrative with his passing, and wins possession increasingly high up the pitch. Even in a quiet year personally, he was still one of the best holding midfielders around.","Michael Cox",100,"√ SMc","√ SMc","√ SB","√ PC",60,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
61,"","New","Yacine Brahimi","Midfielder","Porto","Portuguese league",24,"Algeria","Paris, France","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174540031/Yacine-Brahimi-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174576915/Yacine-Brahimi-002.jpg","Porto showed typical shrewdness when they signed Brahimi from Granada last summer and they have been rewarded with some wonderful displays by a midfielder with rare technical gifts and speed, most notably in his match-winning performance against Athletic Bilbao and when he scored a spectacular Champions League hat-trick against Bate Borisov. The former France youth international declared his intention to play for the country of his parents’ birth in 2013 and was outstanding for Algeria at the World Cup. His creativity is one of the chief reasons why they are among the favourites for the 2015 Africa Cup of Nations.","Paul Doyle",100,"√ MC","√ SMc","√ PC","√ SB",61,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
62,"93","31","Blaise Matuidi","Midfielder","PSG","Ligue 1",27,"France","Toulouse","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174300420/Blaise-Matuidi-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174340605/Blaise-Matuidi-002.jpg","When Paris Saint-Germain bought Matuidi from Saint-Étienne in 2011 he was described as a replacement for Claude Makélélé, but perhaps a better word would have been upgrade. Matuidi is an able destroyer and a dynamic linker of play while also offering a thrust that makes him much more than a holding midfielder – he scored six goals and created another seven for his club last season. He has been inspirational in PSG’s last two titles and is a stalwart for France. “He scores goals, he defends, he keeps the ball,” says his PSG team-mate, Yohan Cabaye. “And when you see the way he runs, you feel obliged to bust a gut too.""","Paul Doyle",100,"√ MC","√ SMc","√ SB","√ PC",62,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
63,"16","-47","Radamel Falcao","Forward","Manchester United","Premier League",28,"Colombia","Santa Marta","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174182147/Radamel-Falcao-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174239558/Radamel-Falcao-002.jpg","There was huge excitement when the Colombian signed for Manchester United on the last day of the summer transfer window: Falcao was regarded as one of the most formidable strikers in the world before joining Monaco from Atlético Madrid and the hope was that he would form a fearsome attacking trident with Wayne Rooney and Robin van Persie. Yet signing him was something of a gamble. A knee injury sustained in January kept him out of the World Cup and he has struggled for fitness and for game time at United, so sadly it is not a surprise to learn that the 28-year-old has slipped significantly down the rankings.","Jacob Steinberg",100,"√ MC","√ SMc","√ SB","√ PC",63,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
64,"76","12","Marco Verratti","Midfielder","PSG","Ligue 1",22,"Italy","Manoppello","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174064038/Marco-Verratti-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419174111313/Marco-Verratti-002.jpg","A midfielder who, though too frequently booked, plays with a maturity that belies his 22 years of age, Marco Verratti has become such an asset to Paris Saint-Germain that they saw fit to improve and extend his already lengthy contract earlier this season in a bid to keep the vultures at bay. The most prolific passer of a footballer in Europe’s top five leagues, the Italian’s approach is more patient than that of his compatriot Andrea Pirlo, alongside whom he played in two matches during Italy’s decidedly inauspicious World Cup campaign. He is clearly relishing the more advanced role in which he plays his club football under Laurent Blanc.","Barry Glendenning",100,"√ MC","√ SMc","√ SB","√ PC",64,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
65,"","New","Vincent Enyeama","Goalkeeper","Lille","Ligue 1",32,"Nigeria","Kaduma","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173905048/Vincent-Enyeama-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173994427/Vincent-Enyeama-002.jpg","At one stage last season Enyeama kept 11 consecutive clean sheets for Lille, just short of the Ligue 1 record, then he put in several outstanding performances for his country at the World Cup. A wonderful shot-stopper with lightning reflexes and an excellent success rate in one-on-ones, he spreads confidence through his team with commanding interventions and vocal leadership. He is also very tidy with the ball at his feet, as might be expected from a player who has converted over 20 penalties in his career. Now 32, he is closing on 100 caps for his country and is recognised as the best goalkeeper in Africa, and among the finest in the world.","Paul Doyle",100,"√ MC","√ SMc","√ PC","√ SB",65,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
66,"","New","Edin Dzeko","Forward","Manchester City","Premier League",28,"Bosnia-Herzegovina","Sarajevo","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173692445/Edin-Dzeko-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173752740/Edin-Dzeko-002.jpg","The Bosnian continues to have an uneven City career in which he can look average for a run of games before suddenly transforming into a world-beater. Big, solid centre-forwards with no particular turn of pace are virtually extinct at elite clubs, yet this scorer of “heavy” goals, to use David Platt’s term, continues to weigh in when most needed. Last season Dzeko registered nine goals in City’s last 11 matches to help push the team to the championship. Now, in Sergio Agüero’s absence, Dzeko – and his team – require a repeat performance. ","Jamie Jackson",100,"√ MC","√ SMc","√ SB","√ PC",66,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
67,"","New","Wilfried Bony","Forward","Swansea City","Premier League",25,"Ivory Coast","Bingerville, CIV","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173556969/Wilfried-Bony-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173617275/Wilfried-Bony-002.jpg","A new entry on the list, Bony is arguably the finest striker who is not currently playing for one of the Premier League’s elite clubs. As dangerous in the air as he is on the ground and brilliant both at finding space in the area and holding defenders off before getting shots away on the turn, the Ivorian scored 37 goals in his final season for Vitesse Arnhem and then – after a £12m move to Wales – grabbed 26 in his debut year for Swansea, resuming his prolific ways, after a slow start, in this campaign. Bony also scored twice for the Ivory Coast at the World Cup and it is increasingly hard to see how Swansea can keep him for much longer.","Jacob Steinberg",100,"√ SMc","√ SMc","√ SB","√ PC",67,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
68,"56","-12","Gonzalo Higuaín","Striker","Napoli","Serie A",27,"Argentina","Brest, France","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173414927/Gonzalo-Higuain-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173510332/Gonzalo-Higuain-002.jpg","The summer of 2014 was painful for Higuaín, with a World Cup final defeat to Germany followed swiftly by a loss to Athletic Bilbao in Champions League qualifying. From standing on the brink of footballing immortality, he suddenly had nothing more to look forward to than a long Serie A campaign and Europa League football on Thursday nights. For a time it seemed his spirit had been crushed, as he turned in a string of listless performances at Napoli and failed to score a league goal until October. But lately he has been back in form, reminding us he can be one of the most lethal finishers on the planet.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",68,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
69,"","New","John Terry","Defender","Chelsea","Premier League",33,"England","Barking","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173232216/John-Terry-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173361923/John-Terry-002.jpg","Arguably playing the best football of his career, the Chelsea captain remains a towering presence in what has been the best defence in the league over the past two seasons. His calm, reassuring performances alongside Gary Cahill in the heart of Chelsea’s back four led to calls for his return to the England squad prior to the World Cup, but Roy Hodgson remained unmoved. Slow on the turn, with a general lack of pace which forces him to sit deeper than ideal, Terry remains excellent in the air and is an astute reader of the game, whose leadership skills provide a calming influence on those around him.","Barry Glendenning",100,"√ SMc","√ SMc","√ SB","√ PC",69,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
70,"","New","Miroslav Klose","Forward","Lazio","Serie A",36,"Germany","Opolo, Poland","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173066713/Miroslav-Klose-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419173123870/Miroslav-Klose-002.jpg
","It would have been easy enough for Klose to call time on his career in July. At 36 years old, he had just won the World Cup with Germany, becoming the tournament’s all-time leading scorer in the process. But, while the Poland-born striker did announce his retirement from international football soon afterwards, he still enjoys playing too much to give it up altogether. His legs cannot carry him through as many games as they used to, but he is still scoring for Lazio in Serie A and remains one of the most effective poachers on the planet, with an efficiency of movement that few players younger than him can equal.","Paolo Bandini",100,"√ MC","√ SMc","√ PC","√ SB",70,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
71,"48","-23","Mario Mandzukic","Forward","Atlético Madrid","La Liga",28,"Croatia","Slavonski Brod","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418945396446/Mario-Mandzukic-of-Atleti-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418950799347/Atletico-Madrids-forward--002.jpg","There is a rawness to Mandzukic that meant he was perhaps never the ideal fit for Pep Guardiola’s Bayern, although his energy in closing down opponents should not be underestimated. With Robert Lewandowski’s signing known well in advance, it was inevitable the Croat would be leaving the club in the summer, but he still finished as Bayern’s top scorer with 26 goals. He has maintained his form at Atlético as Diego Costa’s replacement, <a href=""http://www.theguardian.com/football/2014/nov/26/atletico-madrid-olympiakos-champions-league-match-report"" >the highlight so far being his hat-trick against Olympiakos in the Champions League</a>. Although he is yet to score, his leading of the line has been vital in Croatia’s fine start to Euro 2016 qualifying.","Jonathan Wilson",100,"√ MC","√ SMc","√ SB","√ PC",71,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
72,"24","-48","Gianluigi Buffon","Goalkeeper","Juventus","Serie A",36,"Italy","Carrara","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418945459964/Gianluigi-Buffon-of-Juven-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418950944854/Gianluigi-Buffon-of-Juven-002.jpg","The critics will tell you that Buffon is starting to show his age but every time the chorus rises above a certain volume, he comes up with an emphatic riposte. His reflex stop from Koke during Juventus’s vital, goalless Champions League draw with Atlético Madrid in December provides a vivid recent example, but more impressive than any individual save is the player’s enduring consistency. Buffon kept out a higher percentage of the shots that he faced (81.1%) than any other goalkeeper in Serie A last season. Even as he approaches his 37th birthday, he remains an uncontested choice as Italy’s No1.","Paolo Bandini",100,"√ MC","√ SMc","√ SB","√ PC",72,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
73,"","New","Jackson Martínez","Forward","Porto","Portuguese league",28,"Colombia","Quibdó","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418945528360/Jackson-Martinez-of-Porto-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951075852/Portos-forward-Jackson-Ma-002.jpg","‘Cha Cha Cha’ always had a lot to live up to in Portugal, inheriting the Porto No9 shirt previously occupied by his illustrious compatriot Radamel Falcao. He took up the baton without missing a beat, however, and had 77 goals in 111 matches by the beginning of December. His strength is complimented by his intelligence and invention. The failure to become a go-to for Colombia, even after Falcao’s injury, must hurt (although he scored twice against Japan in the World Cup) but he is a genuine leader for Porto, and has scored five goals in four Champions League starts this season to help propel his side into the last 16.","Andy Brassell",100,"√ MC","√ SMc","√ PC","√ SB",73,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
74,"","New","Antoine Griezmann","MIdfielder","Atlético Madrid","La Liga",23,"France","Macon","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418945678468/Atletico-Madrids-Antoine--004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951221660/Atletico-Madrids-forward--002.jpg","Real Sociedad pulled off a coup when they signed this French prodigy as a 14-year-old. He made his debut in 2009, aged 18, though it took nearly five years for his performances at Sociedad to yield a first senior cap, which finally came in March. He went on to feature in all five of France’s matches at the World Cup, putting together an impressive audition to be Franck Ribéry’s heir, and convincing Atlético to spend £24m on him. “He is very clinical, scores a lot of goals and creates a lot of goals,” said Didier Deschamps. “He is equally comfortable on either side and through the middle. On top of that, he is tactically very aware.”","Paul Doyle",100,"√ MC","√ SMc","√ SB","√ PC",74,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
75,"49","-26","Aaron Ramsey","Midfielder","Arsenal","Premier League",23,"Wales","Caerphilly","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418946278420/Arsenals-Aaron-Ramsey-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951347890/Arsenals-Aaron-Ramsey--002.jpg","During the 2013-14 season the Welshman discovered goals. He might have scored a few before, he may fizzle out and score only occasionally in future, but during a wonder period he suddenly had a Billy’s Boots knack for goals. Although he missed the first three months of 2014 with a thigh injury <a href=""http://www.theguardian.com/football/2014/may/17/arsenal-hull-city-fa-cup-final-match-report"" >he returned to score the most vital goal of all to win the FA Cup for Arsenal</a>, crowning a turnaround from 2-0 down to 3-2 up against Hull with an instinctive stroke to flick the ball into the corner. Overall his tally of 16 goals from 34 club appearances last season underlined how he assumed a talismanic presence for Arsenal.","Amy Lawrence",100,"√ MC","√ SMc","√ SB","√ PC",75,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
76,"64","-12","Hugo Lloris","Goalkeeper","Tottenham Hotspur","Premier League",27,"France","Nice","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418946422767/Hugo-Lloris-of-Tottenham--004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951415246/Tottenham-Hotspurs-Hugo-L-002.jpg","It is a wonder how the Frenchman manages to stay calm given the shambles that has often been providing him with paltry protection since the start of last season at White Hart Lane. Lloris, who captained France to the last eight of the World Cup, has spared Tottenham’s blushes on countless occasions in the past 18 months with his sharp reflexes and alertness. The way he puts off opposition strikers with his speed off his line makes him stand out. It is generally agreed that he deserves to play behind a better defence, so it may be difficult for Mauricio Pochettino to hang on to him beyond the end of this season.","Jacob Steinberg",100,"√ SMc","√ SMc","√ PC","√ SB",76,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
77,"","New","Ezequiel Garay","Defender","Zenit St Petersburg","Russian league",28,"Argentina","Rosario","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418946472656/Ezequiel-Garay-of-FK-Zeni-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951520394/Argentinas-defender-Ezequ-002.jpg","One of the best defenders at the World Cup, Garay built his reputation at Benfica after failing to establish himself at Real Madrid. He is as tough as they come – it was his challenge that knocked poor Christoph Kramer senseless during the World Cup final</a> – but also has considerable finesse. After missing out on a quadruple with Benfica last season when losing the Europa League final on penalties, he joined André Villas-Boas at Zenit, after Manchester United inexplicably passed on his services, and has made an excellent start to his career in Russia. ","Andy Brassell",100,"√ MC","√ SMc","√ PC","√ SB",77,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
78,"","New","Luiz Adriano","Forward","Shakhtar Donetsk","Ukrainian league",27,"Brazil","Porto Alegre","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418946537210/Shakhtar-Donetsks-Luiz-Ad-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951652636/Luiz-Adriano-of-Brazil--002.jpg","Despite all his goals Luiz Adriano has never had a high profile in his homeland, which he left as a 20-year-old in 2007, though the five goals he scored against Bate Borisov in a Champions League game in October caught the eye (only Lionel Messi had scored so many in a single game in the history of the competition). Given how prolific he has been in the last couple of seasons and how much Brazil has suffered from the lack of a decent No9 – remember Fred? – it was even more surprising that he had never played for the senior Brazil side until last month, his first ever call-up coming two days after that demolition of Borisov.","Fernando Duarte",100,"√ MC","√ SMc","√ SB","√ PC",78,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
79,"31","-48","Francesco Totti","Forward","Roma","Serie A",38,"Italy","Rome","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/18/1418946586181/AS-Romas-Francesco-Totti-004.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/19/1418951714406/Romas-forward-Francesco-T-002.jpg","They say you can’t teach an old dog new tricks. Perhaps it is just a question of having the right motivation. Shortly before facing Roma at the Etihad this September, Manchester City’s Twitter account reminded the world that Totti had never scored a goal in England. A few hours later, the 38-year-old did exactly that, chipping Joe Hart and becoming the Champions League’s oldest-ever scorer in the process. He then went on to break his own record with another strike against CSKA Moscow two months later. With a contract running to 2016, you would not bet against him raising the bar again next year.","Paolo Bandini",100,"√ MC","√ SMc","√ PC","√ SB",79,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
